__builtin_msa_ld_d	v2i64	void * mem, int imm_n4096_4088
__builtin_msa_ld_h	v8i16	void * mem, int imm_n1024_1022
__builtin_msa_ld_w	v4i32	void * mem, int imm_n2048_2044
__builtin_msa_ldi_b	v16i8	int imm_n512_511
__builtin_msa_ldi_d	v2i64	int imm_n512_511
__builtin_msa_ldi_h	v8i16	int imm_n512_511
__builtin_msa_ldi_w	v4i32	int imm_n512_511
__builtin_msa_madd_q_h	v8i16	v8i16 a, v8i16 b, v8i16 c
__builtin_msa_madd_q_w	v4i32	v4i32 a, v4i32 b, v4i32 c
__builtin_msa_maddr_q_h	v8i16	v8i16 a, v8i16 b, v8i16 c
__builtin_msa_maddr_q_w	v4i32	v4i32 a, v4i32 b, v4i32 c
__builtin_msa_maddv_b	v16i8	v16i8 a, v16i8 b, v16i8 c
__builtin_msa_maddv_d	v2i64	v2i64 a, v2i64 b, v2i64 c
__builtin_msa_maddv_h	v8i16	v8i16 a, v8i16 b, v8i16 c
__builtin_msa_maddv_w	v4i32	v4i32 a, v4i32 b, v4i32 c
__builtin_msa_max_a_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_max_a_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_max_a_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_max_a_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_max_s_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_max_s_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_max_s_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_max_s_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_max_u_b	v16u8	v16u8 a, v16u8 b
__builtin_msa_max_u_d	v2u64	v2u64 a, v2u64 b
__builtin_msa_max_u_h	v8u16	v8u16 a, v8u16 b
__builtin_msa_max_u_w	v4u32	v4u32 a, v4u32 b
__builtin_msa_maxi_s_b	v16i8	v16i8 a, int imm_n16_15
__builtin_msa_maxi_s_d	v2i64	v2i64 a, int imm_n16_15
__builtin_msa_maxi_s_h	v8i16	v8i16 a, int imm_n16_15
__builtin_msa_maxi_s_w	v4i32	v4i32 a, int imm_n16_15
__builtin_msa_maxi_u_b	v16u8	v16u8 a, int imm0_31
__builtin_msa_maxi_u_d	v2u64	v2u64 a, int imm0_31
__builtin_msa_maxi_u_h	v8u16	v8u16 a, int imm0_31
__builtin_msa_maxi_u_w	v4u32	v4u32 a, int imm0_31
__builtin_msa_min_a_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_min_a_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_min_a_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_min_a_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_min_s_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_min_s_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_min_s_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_min_s_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_min_u_b	v16u8	v16u8 a, v16u8 b
__builtin_msa_min_u_d	v2u64	v2u64 a, v2u64 b
__builtin_msa_min_u_h	v8u16	v8u16 a, v8u16 b
__builtin_msa_min_u_w	v4u32	v4u32 a, v4u32 b
__builtin_msa_mini_s_b	v16i8	v16i8 a, int imm_n16_15
__builtin_msa_mini_s_d	v2i64	v2i64 a, int imm_n16_15
__builtin_msa_mini_s_h	v8i16	v8i16 a, int imm_n16_15
__builtin_msa_mini_s_w	v4i32	v4i32 a, int imm_n16_15
__builtin_msa_mini_u_b	v16u8	v16u8 a, int imm0_31
__builtin_msa_mini_u_d	v2u64	v2u64 a, int imm0_31
__builtin_msa_mini_u_h	v8u16	v8u16 a, int imm0_31
__builtin_msa_mini_u_w	v4u32	v4u32 a, int imm0_31
__builtin_msa_mod_s_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_mod_s_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_mod_s_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_mod_s_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_mod_u_b	v16u8	v16u8 a, v16u8 b
__builtin_msa_mod_u_d	v2u64	v2u64 a, v2u64 b
__builtin_msa_mod_u_h	v8u16	v8u16 a, v8u16 b
__builtin_msa_mod_u_w	v4u32	v4u32 a, v4u32 b
__builtin_msa_move_v	v16i8	v16i8 a
__builtin_msa_msub_q_h	v8i16	v8i16 a, v8i16 b, v8i16 c
__builtin_msa_msub_q_w	v4i32	v4i32 a, v4i32 b, v4i32 c
__builtin_msa_msubr_q_h	v8i16	v8i16 a, v8i16 b, v8i16 c
__builtin_msa_msubr_q_w	v4i32	v4i32 a, v4i32 b, v4i32 c
__builtin_msa_msubv_b	v16i8	v16i8 a, v16i8 b, v16i8 c
__builtin_msa_msubv_d	v2i64	v2i64 a, v2i64 b, v2i64 c
__builtin_msa_msubv_h	v8i16	v8i16 a, v8i16 b, v8i16 c
__builtin_msa_msubv_w	v4i32	v4i32 a, v4i32 b, v4i32 c
__builtin_msa_mul_q_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_mul_q_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_mulr_q_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_mulr_q_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_mulv_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_mulv_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_mulv_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_mulv_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_nloc_b	v16i8	v16i8 a
__builtin_msa_nloc_d	v2i64	v2i64 a
__builtin_msa_nloc_h	v8i16	v8i16 a
__builtin_msa_nloc_w	v4i32	v4i32 a
__builtin_msa_nlzc_b	v16i8	v16i8 a
__builtin_msa_nlzc_d	v2i64	v2i64 a
__builtin_msa_nlzc_h	v8i16	v8i16 a
__builtin_msa_nlzc_w	v4i32	v4i32 a
__builtin_msa_nor_v	v16u8	v16u8 a, v16u8 b
__builtin_msa_nori_b	v16u8	v16u8 a, int imm0_255
